full_text,case_folding,tokens,normalized,stopword_removal,stemming
Tau gak sih ternyata Pi Network itu bisa dikonversiin ke Bitcoin lhoo Kira kira perlu berapa Pi Network biar bisa dikonversiin ke Bitcoinya Cek artikelnya di sini,tau gak sih ternyata pi network itu bisa dikonversiin ke bitcoin lhoo kira kira perlu berapa pi network biar bisa dikonversiin ke bitcoinya cek artikelnya di sini,"['tau', 'gak', 'sih', 'ternyata', 'pi', 'network', 'itu', 'bisa', 'dikonversiin', 'ke', 'bitcoin', 'lhoo', 'kira', 'kira', 'perlu', 'berapa', 'pi', 'network', 'biar', 'bisa', 'dikonversiin', 'ke', 'bitcoinya', 'cek', 'artikelnya', 'di', 'sini']","['tau', 'enggak', 'sih', 'ternyata', 'tapi', 'network', 'itu', 'bisa', 'dikonversiin', 'ke', 'bitcoin', 'loh', 'kira', 'kira', 'perlu', 'berapa', 'tapi', 'network', 'biar', 'bisa', 'dikonversiin', 'ke', 'bitcoinya', 'cek', 'artikelnya', 'di', 'sini']","['tau', 'sih', 'network', 'dikonversiin', 'bitcoin', 'loh', 'network', 'biar', 'dikonversiin', 'bitcoinya', 'cek', 'artikelnya']","['tau', 'sih', 'network', 'dikonversiin', 'bitcoin', 'loh', 'network', 'biar', 'dikonversiin', 'bitcoinya', 'cek', 'artikel']"
Mio ti e le kerora lori be bitcoin shey wale to ri pe ni igba ti o losi oke fo ga ju mo je ni be Eni to mo oju owo lo mo ojo iku,mio ti e le kerora lori be bitcoin shey wale to ri pe ni igba ti o losi oke fo ga ju mo je ni be eni to mo oju owo lo mo ojo iku,"['mio', 'ti', 'e', 'le', 'kerora', 'lori', 'be', 'bitcoin', 'shey', 'wale', 'to', 'ri', 'pe', 'ni', 'igba', 'ti', 'o', 'losi', 'oke', 'fo', 'ga', 'ju', 'mo', 'je', 'ni', 'be', 'eni', 'to', 'mo', 'oju', 'owo', 'lo', 'mo', 'ojo', 'iku']","['mio', 'ti', 'e', 'boleh', 'kerora', 'lori', 'be', 'bitcoin', 'shey', 'wale', 'tapi', 'ri', 'pe', 'nih', 'igba', 'ti', 'o', 'losi', 'oke', 'fo', 'enggak', 'ju', 'mau', 'je', 'nih', 'be', 'eni', 'tapi', 'mau', 'oju', 'owo', 'lo', 'mau', 'ojo', 'iku']","['mio', 'ti', 'e', 'kerora', 'lori', 'bitcoin', 'shey', 'wale', 'ri', 'pe', 'nih', 'igba', 'ti', 'losi', 'oke', 'fo', 'ju', 'je', 'nih', 'eni', 'oju', 'owo', 'lo', 'ojo', 'iku']","['mio', 'ti', 'e', 'kerora', 'lori', 'bitcoin', 'shey', 'wale', 'ri', 'pe', 'nih', 'igba', 'ti', 'los', 'oke', 'fo', 'ju', 'je', 'nih', 'eni', 'oju', 'owo', 'lo', 'ojo', 'iku']"
masyarakat dunia ketakutan Fear amp Greed Index Bitcoin hari ini sentuh ini merupakan Level ketakutan tertinggi sejak Sejarah membuktikan Index BTC K naik ke K Index lt BTC K bullrun ke K Bearish,masyarakat dunia ketakutan fear amp greed index bitcoin hari ini sentuh ini merupakan level ketakutan tertinggi sejak sejarah membuktikan index btc k naik ke k index lt btc k bullrun ke k bearish,"['masyarakat', 'dunia', 'ketakutan', 'fear', 'amp', 'greed', 'index', 'bitcoin', 'hari', 'ini', 'sentuh', 'ini', 'merupakan', 'level', 'ketakutan', 'tertinggi', 'sejak', 'sejarah', 'membuktikan', 'index', 'btc', 'k', 'naik', 'ke', 'k', 'index', 'lt', 'btc', 'k', 'bullrun', 'ke', 'k', 'bearish']","['masyarakat', 'dunia', 'ketakutan', 'fear', 'amp', 'greed', 'index', 'bitcoin', 'hari', 'ini', 'sentuh', 'ini', 'merupakan', 'level', 'ketakutan', 'tertinggi', 'sejak', 'sejarah', 'membuktikan', 'index', 'btc', 'ke', 'naik', 'ke', 'ke', 'index', 'lantai', 'btc', 'ke', 'bullrun', 'ke', 'ke', 'bearish']","['masyarakat', 'dunia', 'ketakutan', 'fear', 'amp', 'greed', 'index', 'bitcoin', 'sentuh', 'level', 'ketakutan', 'tertinggi', 'sejarah', 'membuktikan', 'index', 'btc', 'index', 'lantai', 'btc', 'bullrun', 'bearish']","['masyarakat', 'dunia', 'takut', 'fear', 'amp', 'greed', 'index', 'bitcoin', 'sentuh', 'level', 'takut', 'tinggi', 'sejarah', 'bukti', 'index', 'btc', 'index', 'lantai', 'btc', 'bullrun', 'bearish']"
Kenapa Bitcoin turun altcoin relatif diem aja Karena Mereka udah turun banyak banget Mereka sudah mendekat support kayak Ethereum ni,kenapa bitcoin turun altcoin relatif diem aja karena mereka udah turun banyak banget mereka sudah mendekat support kayak ethereum ni,"['kenapa', 'bitcoin', 'turun', 'altcoin', 'relatif', 'diem', 'aja', 'karena', 'mereka', 'udah', 'turun', 'banyak', 'banget', 'mereka', 'sudah', 'mendekat', 'support', 'kayak', 'ethereum', 'ni']","['kenapa', 'bitcoin', 'turun', 'altcoin', 'relatif', 'diam', 'saja', 'karena', 'mereka', 'sudah', 'turun', 'banyak', 'banget', 'mereka', 'sudah', 'mendekat', 'support', 'kayak', 'ethereum', 'nih']","['bitcoin', 'turun', 'altcoin', 'relatif', 'diam', 'turun', 'banget', 'mendekat', 'support', 'kayak', 'ethereum', 'nih']","['bitcoin', 'turun', 'altcoin', 'relatif', 'diam', 'turun', 'banget', 'dekat', 'support', 'kayak', 'ethereum', 'nih']"
Fidelity Jualan tapi didompetnya ada bitcoin Bagaimana cara pikir Fidelity Kalau bear market harusnya jualnya rb bukan Itu cuma nya Masa Fidelity ngga pinter Kalau ngga pinter ngga ngelola dana pensiun Blackrock punya hampir Bitcoin,fidelity jualan tapi didompetnya ada bitcoin bagaimana cara pikir fidelity kalau bear market harusnya jualnya rb bukan itu cuma nya masa fidelity ngga pinter kalau ngga pinter ngga ngelola dana pensiun blackrock punya hampir bitcoin,"['fidelity', 'jualan', 'tapi', 'didompetnya', 'ada', 'bitcoin', 'bagaimana', 'cara', 'pikir', 'fidelity', 'kalau', 'bear', 'market', 'harusnya', 'jualnya', 'rb', 'bukan', 'itu', 'cuma', 'nya', 'masa', 'fidelity', 'ngga', 'pinter', 'kalau', 'ngga', 'pinter', 'ngga', 'ngelola', 'dana', 'pensiun', 'blackrock', 'punya', 'hampir', 'bitcoin']","['fidelity', 'jualan', 'tapi', 'didompetnya', 'ada', 'bitcoin', 'bagaimana', 'cara', 'pikir', 'fidelity', 'kalau', 'bear', 'market', 'harusnya', 'jualnya', 'ribu', 'bukan', 'itu', 'cuma', 'nya', 'masa', 'fidelity', 'enggak', 'pintar', 'kalau', 'enggak', 'pintar', 'enggak', 'ngelola', 'dana', 'pensiun', 'blackrock', 'punya', 'hampir', 'bitcoin']","['fidelity', 'jualan', 'didompetnya', 'bitcoin', 'pikir', 'fidelity', 'bear', 'market', 'jualnya', 'ribu', 'nya', 'fidelity', 'pintar', 'pintar', 'ngelola', 'dana', 'pensiun', 'blackrock', 'bitcoin']","['fidelity', 'jual', 'dompet', 'bitcoin', 'pikir', 'fidelity', 'bear', 'market', 'jual', 'ribu', 'nya', 'fidelity', 'pintar', 'pintar', 'ngelola', 'dana', 'pensiun', 'blackrock', 'bitcoin']"
Pengumuman pengumuman Harga Bitcoin hari ini adalah Rp Miliar loh Yuk cek pergerakan Bitcoin sekarang di,pengumuman pengumuman harga bitcoin hari ini adalah rp miliar loh yuk cek pergerakan bitcoin sekarang di,"['pengumuman', 'pengumuman', 'harga', 'bitcoin', 'hari', 'ini', 'adalah', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'pergerakan', 'bitcoin', 'sekarang', 'di']","['pengumuman', 'pengumuman', 'harga', 'bitcoin', 'hari', 'ini', 'adalah', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'pergerakan', 'bitcoin', 'sekarang', 'di']","['pengumuman', 'pengumuman', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'pergerakan', 'bitcoin']","['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']"
Dikasi diskon lagi sama Bitcoin sampe ke harga US k tadi Kali ini penyebabnya apa sih Selengkapnya disini,dikasi diskon lagi sama bitcoin sampe ke harga us k tadi kali ini penyebabnya apa sih selengkapnya disini,"['dikasi', 'diskon', 'lagi', 'sama', 'bitcoin', 'sampe', 'ke', 'harga', 'us', 'k', 'tadi', 'kali', 'ini', 'penyebabnya', 'apa', 'sih', 'selengkapnya', 'disini']","['dikasi', 'diskon', 'lagi', 'sama', 'bitcoin', 'sampai', 'ke', 'harga', 'us', 'ke', 'tadi', 'kali', 'ini', 'penyebabnya', 'apa', 'sih', 'selengkapnya', 'disini']","['dikasi', 'diskon', 'bitcoin', 'harga', 'us', 'kali', 'penyebabnya', 'sih', 'selengkapnya']","['kasi', 'diskon', 'bitcoin', 'harga', 'us', 'kali', 'sebab', 'sih', 'lengkap']"
Saya ingin komplain ke CEO Bitcoin,saya ingin komplain ke ceo bitcoin,"['saya', 'ingin', 'komplain', 'ke', 'ceo', 'bitcoin']","['saya', 'ingin', 'komplain', 'ke', 'ceo', 'bitcoin']","['komplain', 'ceo', 'bitcoin']","['komplain', 'ceo', 'bitcoin']"
GM Bitcoin ke K RRP naik dari sekarang milyar Tariff eropa dihantam DXY menguat Yang wow adalah saldo altcoin saya naik lebih tinggi drpd saat bitcoin K Mana yg kemaren bilang analisanya Bitcoin tapi belinya alt RSI,gm bitcoin ke k rrp naik dari sekarang milyar tariff eropa dihantam dxy menguat yang wow adalah saldo altcoin saya naik lebih tinggi drpd saat bitcoin k mana yg kemaren bilang analisanya bitcoin tapi belinya alt rsi,"['gm', 'bitcoin', 'ke', 'k', 'rrp', 'naik', 'dari', 'sekarang', 'milyar', 'tariff', 'eropa', 'dihantam', 'dxy', 'menguat', 'yang', 'wow', 'adalah', 'saldo', 'altcoin', 'saya', 'naik', 'lebih', 'tinggi', 'drpd', 'saat', 'bitcoin', 'k', 'mana', 'yg', 'kemaren', 'bilang', 'analisanya', 'bitcoin', 'tapi', 'belinya', 'alt', 'rsi']","['gm', 'bitcoin', 'ke', 'ke', 'rrp', 'naik', 'dari', 'sekarang', 'milyar', 'tariff', 'eropa', 'dihantam', 'dxy', 'menguat', 'yang', 'wow', 'adalah', 'saldo', 'altcoin', 'saya', 'naik', 'lebih', 'tinggi', 'daripada', 'saat', 'bitcoin', 'ke', 'mana', 'yang', 'kemarin', 'bilang', 'analisanya', 'bitcoin', 'tapi', 'belinya', 'alt', 'rsi']","['gm', 'bitcoin', 'rrp', 'milyar', 'tariff', 'eropa', 'dihantam', 'dxy', 'menguat', 'wow', 'saldo', 'altcoin', 'bitcoin', 'kemarin', 'bilang', 'analisanya', 'bitcoin', 'belinya', 'alt', 'rsi']","['gm', 'bitcoin', 'rrp', 'milyar', 'tariff', 'eropa', 'hantam', 'dxy', 'kuat', 'wow', 'saldo', 'altcoin', 'bitcoin', 'kemarin', 'bilang', 'analisanya', 'bitcoin', 'beli', 'alt', 'rsi']"
bitcoin merah tebal altcoin cuek tumben,bitcoin merah tebal altcoin cuek tumben,"['bitcoin', 'merah', 'tebal', 'altcoin', 'cuek', 'tumben']","['bitcoin', 'merah', 'tebal', 'altcoin', 'cuek', 'tumben']","['bitcoin', 'merah', 'tebal', 'altcoin', 'cuek', 'tumben']","['bitcoin', 'merah', 'tebal', 'altcoin', 'cuek', 'tumben']"
Bitski Art mfBRAT eth ticklesnarf AeonsBTC The Banksy Of Bitcoin IYKYK,bitski art mfbrat eth ticklesnarf aeonsbtc the banksy of bitcoin iykyk,"['bitski', 'art', 'mfbrat', 'eth', 'ticklesnarf', 'aeonsbtc', 'the', 'banksy', 'of', 'bitcoin', 'iykyk']","['bitski', 'art', 'mfbrat', 'eth', 'ticklesnarf', 'aeonsbtc', 'the', 'banksy', 'of', 'bitcoin', 'iykyk']","['bitski', 'art', 'mfbrat', 'eth', 'ticklesnarf', 'aeonsbtc', 'banksy', 'bitcoin', 'iykyk']","['bitski', 'art', 'mfbrat', 'eth', 'ticklesnarf', 'aeonsbtc', 'banksy', 'bitcoin', 'iykyk']"
sBTC minted on Stacks sBITCOIN SZN,sbtc minted on stacks sbitcoin szn,"['sbtc', 'minted', 'on', 'stacks', 'sbitcoin', 'szn']","['sbtc', 'minted', 'on', 'stacks', 'sbitcoin', 'szn']","['sbtc', 'minted', 'stacks', 'sbitcoin', 'szn']","['sbtc', 'minted', 'stacks', 'sbitcoin', 'szn']"
Bitcoin udah sempet ke US k Bakal lebih dalem lagi gak nih turunnya,bitcoin udah sempet ke us k bakal lebih dalem lagi gak nih turunnya,"['bitcoin', 'udah', 'sempet', 'ke', 'us', 'k', 'bakal', 'lebih', 'dalem', 'lagi', 'gak', 'nih', 'turunnya']","['bitcoin', 'sudah', 'sempat', 'ke', 'us', 'ke', 'bakal', 'lebih', 'dalam', 'lagi', 'enggak', 'nih', 'turunnya']","['bitcoin', 'us', 'nih', 'turunnya']","['bitcoin', 'us', 'nih', 'turun']"
Usdt or Bitcoin,usdt or bitcoin,"['usdt', 'or', 'bitcoin']","['usdt', 'orang', 'bitcoin']","['usdt', 'orang', 'bitcoin']","['usdt', 'orang', 'bitcoin']"
Bitcoin was k usd in sahi iko k usd niambie investment inaeza kumakia such profit margins,bitcoin was k usd in sahi iko k usd niambie investment inaeza kumakia such profit margins,"['bitcoin', 'was', 'k', 'usd', 'in', 'sahi', 'iko', 'k', 'usd', 'niambie', 'investment', 'inaeza', 'kumakia', 'such', 'profit', 'margins']","['bitcoin', 'was', 'ke', 'usd', 'ini', 'sahi', 'iko', 'ke', 'usd', 'niambie', 'investment', 'inaeza', 'kumakia', 'such', 'profit', 'margins']","['bitcoin', 'usd', 'sahi', 'iko', 'usd', 'niambie', 'investment', 'inaeza', 'kumakia', 'profit', 'margins']","['bitcoin', 'usd', 'sahi', 'iko', 'usd', 'niambie', 'investment', 'inaeza', 'kumakia', 'profit', 'margins']"
Isomeke hivi Pamba jiji yaahidiwa M na GSM isimfunge yanga Sisi siyo wajinga bana,isomeke hivi pamba jiji yaahidiwa m na gsm isimfunge yanga sisi siyo wajinga bana,"['isomeke', 'hivi', 'pamba', 'jiji', 'yaahidiwa', 'm', 'na', 'gsm', 'isimfunge', 'yanga', 'sisi', 'siyo', 'wajinga', 'bana']","['isomeke', 'hivi', 'pamba', 'jiji', 'yaahidiwa', 'sama', 'nya', 'gsm', 'isimfunge', 'yanga', 'sisi', 'siyo', 'wajinga', 'bana']","['isomeke', 'hivi', 'pamba', 'jiji', 'yaahidiwa', 'nya', 'gsm', 'isimfunge', 'yanga', 'sisi', 'siyo', 'wajinga', 'bana']","['isomeke', 'hivi', 'pamba', 'jiji', 'yaahidiwa', 'nya', 'gsm', 'isimfunge', 'yanga', 'sisi', 'siyo', 'wajinga', 'bana']"
Huyu naye ni bitcoin walai,huyu naye ni bitcoin walai,"['huyu', 'naye', 'ni', 'bitcoin', 'walai']","['huyu', 'naye', 'nih', 'bitcoin', 'walai']","['huyu', 'naye', 'nih', 'bitcoin', 'walai']","['huyu', 'naye', 'nih', 'bitcoin', 'walai']"
Oke Sekarang Anda Semua Sependapat Bahwa Bitcoin Adalah Satu Satunya Koin Yang Tidak Scam Jika Anda Percaya Bitcoin Bisa Mencapai Juta Dollar Entah Kapan Di Masa Depan Dan Menjadi Aset Super Berharga Layaknya Emas Saya Rasa Anda Harus Memperhatikan Token Satu Ini Inilah,oke sekarang anda semua sependapat bahwa bitcoin adalah satu satunya koin yang tidak scam jika anda percaya bitcoin bisa mencapai juta dollar entah kapan di masa depan dan menjadi aset super berharga layaknya emas saya rasa anda harus memperhatikan token satu ini inilah,"['oke', 'sekarang', 'anda', 'semua', 'sependapat', 'bahwa', 'bitcoin', 'adalah', 'satu', 'satunya', 'koin', 'yang', 'tidak', 'scam', 'jika', 'anda', 'percaya', 'bitcoin', 'bisa', 'mencapai', 'juta', 'dollar', 'entah', 'kapan', 'di', 'masa', 'depan', 'dan', 'menjadi', 'aset', 'super', 'berharga', 'layaknya', 'emas', 'saya', 'rasa', 'anda', 'harus', 'memperhatikan', 'token', 'satu', 'ini', 'inilah']","['oke', 'sekarang', 'anda', 'semua', 'sependapat', 'bahwa', 'bitcoin', 'adalah', 'satu', 'satunya', 'koin', 'yang', 'tidak', 'scam', 'jika', 'anda', 'percaya', 'bitcoin', 'bisa', 'mencapai', 'juta', 'dollar', 'entah', 'kapan', 'di', 'masa', 'depan', 'dan', 'menjadi', 'aset', 'super', 'berharga', 'layaknya', 'emas', 'saya', 'rasa', 'anda', 'harus', 'memperhatikan', 'token', 'satu', 'ini', 'inilah']","['oke', 'sependapat', 'bitcoin', 'satunya', 'koin', 'scam', 'percaya', 'bitcoin', 'mencapai', 'juta', 'dollar', 'aset', 'super', 'berharga', 'layaknya', 'emas', 'memperhatikan', 'token']","['oke', 'dapat', 'bitcoin', 'satu', 'koin', 'scam', 'percaya', 'bitcoin', 'capai', 'juta', 'dollar', 'aset', 'super', 'harga', 'layak', 'emas', 'perhati', 'token']"
PI ka baap,pi ka baap,"['pi', 'ka', 'baap']","['tapi', 'kak', 'baap']","['kak', 'baap']","['kak', 'baap']"
