stemming,inset,nilai_inset,matched_words
"['microstrategy', 'sun', 'kara', 'siyan', 'guda', 'dubu', 'farashin', 'dala', 'dubu']",negative,-1,sun(-3.0)
"['turut', 'market', 'siklus', 'habis', 'sih', 'coba', 'lihat', 'chart', 'turut', 'btc', 'ikut', 'gue', 'paham', 'teknikal', 'analisis']",positive,1,"turut(-3.0), habis(3.0), coba(2.0), lihat(3.0), turut(-3.0), ikut(-3.0), analisis(4.0)"
"['bitcoin', 'cluenya', 'emak', 'rsi', 'value', 'area', 'arti', 'erti']",positive,1,"arti(1.0), erti(2.0)"
"['bitcoin', 'stagnan', 'altcoins', 'unjuk', 'gigi', 'bitcoin', 'gagal', 'tembus', 'turun', 'breakdown', 'potensi', 'koreksi', 'katau', 'altcoins', 'kuat', 'key', 'takeaways', 'bitcoin', 'struggle', 'gagal', 'breakout']",negative,-1,"stagnan(1.0), unjuk(-3.0), gagal(-4.0), tembus(3.0), turun(1.0), potensi(3.0), kuat(2.0), gagal(-4.0)"
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['tethegamer', 'infinite', 'bitcoin', 'rewards', 'thank', 'later', 'xzlhxsrlaw', 'utpnaada', 'wpdqpz', 'dm', 'sddhuuckibr']",positive,1,thank(4.0)
"['waa', 'maxay', 'crypto', 'currency', 'blockchain', 'bitcoin', 'intery', 'free', 'waxbarasho', 'bilaash', 'ah', 'ayaa', 'lagu', 'guulaysan', 'doona', 'sponsored', 'somalisfc', 'iyo', 'shankatrading', 'sonyo', 'hall', 'habeen', 'dambe', 'insiin', 'pm', 'bacdal', 'maqrib', 'gobolka', 'madaxtooyada', 'area', 'hargeisa', 'somaliland']",positive,1,"free(3.0), lagu(2.0)"
"['early', 'bitcoin', 'days', 'iykyk']",negative,-1,
"['batho', 'shukran', 'meetmelch', 'iyo', 'site', 'ilikua', 'inaitwa', 'local', 'bitcoin', 'mkuu']",negative,-1,
"['bitcoin', 'wif', 'secondchance', 'mc', 'iykyk']",negative,-1,
"['bitcoin', 'research', 'amp', 'adopsi', 'bitcoin', 'institusi', 'negara']",negative,-1,
"['guys', 'haha', 'hinay', 'hinay', 'kayo', 'dyan', 'sa', 'links', 'nya', 'yan', 'check', 'nya', 'followings', 'nya', 'diba', 'matic', 'kayo', 'nakal', 'follow', 'sa', 'bitcoin', 'accs', 'baka', 'mahack', 'kayo', 'change', 'nya', 'nalang', 'agad', 'passwords', 'nya', 'hehehe']",negative,-1,"guys(1.0), check(1.0), nakal(-5.0)"
"['abantu', 'bose', 'mufite', 'nabagira', 'inama', 'ya', 'kuzigumana', 'mukareka', 'kuzigurisha', 'zikir', 'kur', 'macye', 'kuko', 'nta', 'cryptocurreny', 'isohoka', 'ngo', 'ihite', 'izamuka', 'mugaciro', 'ibarirwamo', 'bitcoin', 'isohoka', 'imwe', 'ntanubwo', 'yaguraga', 'gusa', 'ubu', 'igeze', 'kur']",positive,1,"ya(4.0), zikir(4.0)"
"['bitcoin', 'cari', 'cagr', 'altcoin', 'cari', 'exponential', 'growth', 'meme', 'cari', 'lotere']",negative,-1,"cari(-3.0), cari(-3.0), cari(-3.0)"
"['finney', 'cryptographer', 'rekan', 'cipta', 'bitcoin', 'btc', 'satoshi', 'nakamoto', 'bitcoin', 'aset', 'digital', 'utama', 'dunia']",positive,1,"rekan(4.0), dunia(1.0)"
"['prediksi', 'market', 'crypto', 'shares', 'negara', 'adopsi', 'bitcoin', 'strategic', 'reserve', 'bitcoin', 'scalability', 'solution', 'l', 'bitcoin', 'unlock', 'tvl', 'b', 'ethereum', 'bangkit', 'crypto', 'etf', 'capai', 'aum', 'b', 'solana', 'makan', 'marketshare']",positive,1,"prediksi(3.0), bangkit(2.0), capai(4.0), makan(1.0)"
"['sisih', 'rp', 'gajih', 'beli', 'bitcoin', 'rekomendasi', 'modal', 'potensi', 'untung', 'ratus', 'juta', 'airdrop', 'testnet', 'depin', 'defi']",positive,1,"sisih(-2.0), gajih(-2.0), beli(2.0), modal(2.0), potensi(3.0), untung(3.0), juta(2.0)"
"['tariqda', 'lacagta', 'barta', 'kak', 'bacdi', 'dhan', 'uso', 'radsanaysid', 'inshallah', 'ila', 'kak', 'fahantid']",negative,-1,
"['jungjawa', 'prediksi', 'jangka', 'pendek', 'fork', 'dua', 'prediksi', 'jangka', 'ethereum', 'fork', 'sesuai', 'roadmap', 'merge', 'bitcoin', 'tau', 'hard', 'fork', 'algoritma', 'quantum', 'resistant', 'depan']",positive,1,"prediksi(3.0), jangka(3.0), pendek(1.0), dua(1.0), prediksi(3.0), jangka(3.0), sesuai(3.0), tau(-4.0)"
"['beastoshii', 'lilsapos', 'gang']",negative,-1,gang(-4.0)
"['american', 'bitcoin', 'amb', 'trade', 'ca', 'sol', 'bogeguxft', 'xmxadbiucwv', 'fgdjbhgchdx', 'nc', 'wjr']",negative,-1,
"['ahmedshameya', 'usdt', 'network', 'trc', 'tvfjwft', 'lq', 'twpjkayyg', 'ot', 'nuhv', 'bitcoin', 'network', 'bitcoin', 'aybxka', 'lm', 'xikrjdphtz', 'smbql']",negative,-1,
"['ajg', 'diswap', 'bitcoin', 'jir']",negative,-1,jir(-3.0)
"['tokonauts', 'bitcoin', 'minggu', 'pengaruh', 'data', 'ekonomi', 'house', 'price', 'index', 'amp', 'consumer', 'confidence', 'picu', 'gera', 'terbang', 'hoteliercrypto', 'bareng', 'tokocrypto', 'siapin', 'analisanya', 'cek']",negative,-1,"pengaruh(3.0), data(-3.0), bareng(3.0), cek(-4.0)"
"['plume', 'network', 'kolaborasi', 'mercado', 'bitcoin', 'tokenisasi', 'real', 'world', 'asset', 'rwa', 'value', 'nila', 'utas', 'plumenetwork', 'mercadobitcoin']",positive,1,"real(2.0), nila(2.0), utas(4.0)"
"['ask', 'anything', 'bitcoin', 'research', 'amp', 'adopsi', 'bitcoin', 'institusi', 'negara', 'minggu', 'februari', 'wib', 'selesai', 'space', 'web', 'living', 'speaker', 'imanpyudha', 'siap', 'tanya', 'bitcoin', 'institusi', 'adopsi']",positive,1,"selesai(2.0), siap(1.0), tanya(2.0)"
"['jumat', 'tanda', 'jam', 'jam', 'sisa', 'subs', 'bitcoin', 'jam']",negative,-1,"jumat(2.0), tanda(-2.0), sisa(-4.0)"
"['budibukanintel', 'bitcoin', 'populer', 'negara', 'sulit', 'kritik', 'masyarakat']",negative,-1,"populer(5.0), kritik(-5.0)"
"['awon', 'jaguda', 'ji', 'bitcoin']",negative,-1,
"['harga', 'bitcoin', 'crypto', 'tanking', 'user', 'bybit', 'jual', 'tutup', 'posisi', 'si', 'temporary']",positive,1,"harga(3.0), jual(1.0), tutup(-2.0)"
"['gm', 'gm', 'art', 'bitcoin', 'yakuyoke', 'mag', 'cinephoto']",negative,-1,
"['evamalca', 'raplee', 'habis', 'tonton', 'helmy', 'ya', 'full', 'komunitas', 'jual', 'apa', 'bahas', 'bitcoin', 'ane', 'rekomen']",positive,1,"habis(3.0), tonton(-4.0), ya(4.0), komunitas(2.0), jual(1.0), apa(-3.0), bahas(2.0)"
"['juta', 'rupiah', 'paham', 'muter', 'duit', 'duit', 'juta', 'enggak bakal', 'bentuk', 'cash', 'sebar', 'instrumen', 'uang', 'aman', 'tahu', 'amp', 'risk', 'appetite', 'gold', 'deposito', 'bprs', 'bank', 'digital', 'bitcoin', 'si', 'amp', 'p', 'etf', 'obligasi', 'korporasi', 'dsb']",positive,1,"juta(2.0), juta(2.0), bentuk(4.0), cash(2.0), tahu(4.0), deposito(3.0)"
"['daftar', 'tokoh', 'industri', 'crypto', 'satoshi', 'nakamoto', 'cipta', 'bitcoin', 'teknologi', 'blockchain', 'vitalik', 'buterin', 'cowok', 'founder', 'ethereum', 'cipta', 'smart', 'contract', 'changpeng', 'zhao', 'cz', 'diri', 'binance', 'exchange', 'crypto', 'besar', 'brian', 'armstrong', 'ceo']",positive,1,"daftar(1.0), diri(-1.0), besar(4.0)"
"['soon', 'bitcoin', 'digit']",negative,-1,
"['kun', 'san', 'crypto', 'ya', 'kau', 'dah', 'wannan', 'economic', 'control', 'mafi', 'yawan', 'gwamnatoci', 'duniya', 'baki', 'daya', 'sun', 'dogara', 'dah', 'sarrafa', 'talakawan', 'su', 'dah', 'talauci', 'suna', 'son', 'su', 'ci', 'gaba', 'dah', 'sarrafa', 'tattalin', 'arzikin', 'asa', 'ta', 'hanyar', 'manufofin', 'ku', 'dah', 'nya', 'kasuwanci', 'bitcoin', 'yana', 'barazana', 'wannan']",negative,-1,"ya(4.0), dah(-3.0), sun(-3.0), dah(-3.0), dah(-3.0), dah(-3.0), asa(3.0), ta(-3.0), dah(-3.0)"
"['tarung', 'uang', 'fiat', 'uang', 'digital', 'bitcoin', 'skenario', 'global', 'cabal', 'hancur', 'bitcoin', 'let', 'sih', 'berstatement', 'internet', 'shut', 'internet', 'shut', 'ekonomi', 'dunia', 'lumpuh']",negative,-1,"tarung(-3.0), dunia(1.0)"
"['sharciga', 'kaydka', 'bitcoin', 'ee', 'utah', 'hb', 'ayaa', 'kak', 'gudbay', 'guddiga', 'dakhliga', 'amp', 'canshuuraha', 'ee', 'senatka', 'taasoo', 'lu', 'dhoweyneysa', 'utah', 'inay', 'noqoto', 'gobolka', 'ugu', 'horreeya', 'ee', 'kayd', 'bitcoin']",negative,-1,
"['kupea', 'influencers', 'hawajui', 'anything', 'crypto', 'kazi', 'ya', 'crypto', 'shit', 'sasa', 'huyu', 'wa', 'bitcoin', 'kufika', 'anaongelea', 'bitcoin', 'gani', 'nya', 'sisi', 'tunafuatilia', 'gani', 'kwa', 'charts', 'msichana', 'dip', 'gani', 'ikafikisha', 'bitcoin']",positive,1,"ya(4.0), gani(4.0), gani(4.0), gani(4.0)"
"['mekanisme', 'konsensus', 'blockchain', 'proof', 'work', 'pow', 'daya', 'komputasi', 'pecah', 'puzzle', 'kriptografi', 'memvalidasi', 'transaksi', 'contoh', 'bitcoin', 'ethereum', 'upgrade', 'pos', 'proof', 'stake', 'pos', 'validator', 'pilih']",positive,1,"konsensus(3.0), transaksi(4.0), pilih(-2.0)"
"['baik', 'ulangin', 'bitcoin', 'cipta', 'tahan', 'laju', 'inflasi', 'suku', 'bunga', 'cipta', 'tahan', 'laju', 'inflasi', 'fungsi', 'negara', 'lapor', 'inflasi', 'atas', 'wajar', 'bitcoin', 'naik', 'bitcoin', 'tunda', 'suku', 'bunga', 'naik']",positive,1,"baik(3.0), tahan(1.0), bunga(3.0), tahan(1.0), lapor(2.0), atas(-4.0), wajar(3.0), naik(1.0), bunga(3.0), naik(1.0)"
"['jp', 'morgan', 'bilang', 'mulut', 'jamie', 'dimon', 'dasar', 'laku', 'asset', 'management', 'manis', 'client', 'pahit', 'publik', 'emas', 'bitcoin', 'ruko', 'jalan', 'ninjaku', 'sangkut', 'hidup', 'sangkut']",positive,1,"mulut(-1.0), manis(5.0), pahit(-3.0), sangkut(2.0), hidup(2.0), sangkut(2.0)"
"['website', 'ajar', 'kripto', 'amp', 'blockchain', 'gratis', 'tradingnya', 'ya', 'ajar', 'bitcoin', 'ajar', 'ethereum', 'ajar', 'defi', 'ajar', 'solidity', 'seru', 'resources', 'lengkap']",positive,1,"ajar(1.0), gratis(4.0), ya(4.0), ajar(1.0), ajar(1.0), ajar(1.0), ajar(1.0), seru(5.0), lengkap(2.0)"
"['thomas', 'erti', 'bitcoin', 'beli', 'turun', 'jual', 'pintar', 'thomas']",positive,1,"erti(2.0), beli(2.0), turun(1.0), jual(1.0)"
"['umum', 'umum', 'harga', 'bitcoin', 'rp', 'miliar', 'loh', 'yuk', 'cek', 'gera', 'bitcoin']",positive,1,"umum(1.0), umum(1.0), harga(3.0), yuk(4.0), cek(-4.0)"
"['aman', 'nya', 'belikan', 'emas', 'nya', 'bitcoin', 'jadi', 'barang', 'agun', 'pinjam', 'uang', 'ln', 'jamin', 'tumbuh', 'diputerin', 'kayak', 'rugi', 'rugi', 'tradisi', 'bangsa']",negative,-1,"belikan(-1.0), jadi(1.0), jamin(-5.0), kayak(-3.0), rugi(-5.0), rugi(-5.0)"
"['notaslimboy', 'sales', 'bitcoin', 'bicara', 'demokrasi', 'sambung', 'orang', 'cita', 'cita', 'naga', 'kepala', 'cacing']",negative,-1,"sambung(-3.0), cacing(-4.0)"
"['ethereum', 'sideways', 'hitung', 'henti', 'turun', 'chatgpt', 'suruh', 'caritau', 'bitcoin', 'ethereum', 'sideways', 'range', 'harga', 'segitu', 'segitu', 'butuh', 'sideways', 'lonjak', 'harga']",negative,-1,"hitung(1.0), henti(-4.0), turun(1.0), suruh(-2.0), harga(3.0), segitu(-3.0), segitu(-3.0), butuh(-5.0), harga(3.0)"
['wowowowowowo'],negative,-1,
"['menene', 'cryptocurrency', 'cikakken', 'bayan', 'ku', 'dijital', 'insha', 'allah', 'idan', 'kak', 'karanta', 'wan', 'nan', 'zaka', 'fahimci', 'mene', 'crypto', 'dah', 'cikin', 'harshen', 'hausa', 'share', 'retweet']",negative,-1,"allah(5.0), wan(-4.0), dah(-3.0)"
"['amp', 'crypto', 'atms', 'hong', 'kong']",negative,-1,
"['sha', 'allah', 'coins', 'zaiyi', 'daraja', 'yafi', 'bitcoin', 'kasuwa']",positive,1,allah(5.0)
